Category,Message,,,
spam,"Get your garden ready for summer with a free selection of summer bulbs and seeds worth £33.50, available only with The Scotsman this Saturday. To stop messages, visit notxt.co.uk.",,,
spam,"This is your chance to be on a reality fantasy show. Call now at 08707509020. The cost is 20p per minute. NTT Ltd, PO Box 1327, Croydon CR9 5WB. 0870 is a national-rate call.",,,
ham,"Love is not a decision; it is a feeling. If we could choose whom to love, life would be much simpler, but it would also be less magical.",,,
ham,"Good friends care for each other, close friends understand each other, and true friends remain forever—beyond words and beyond time. Good night.",,,
ham,Good. Great job. I appreciate entrepreneurs.,,,
ham,"My parents, my children, my friends, and my colleagues all shouted, “Surprise!”",,,
spam,"You were outbid by simonwatson5120 on the Shinco DVD player. To bid again, visit sms.ac/smsrewards. To stop bid notifications, reply with END OUT.",,,
ham,"I will come tomorrow, sister.",,,
ham,"Hi, did you have a good day? Have you spoken to anyone since the weekend?",,,
ham,What’s going on? Do you want me to come online?,,,
ham,"Hurt me, tease me, make me cry… but at the end of my life, when I pass away, please keep one rose on my grave and say, “I miss you.” Have a nice day.",,,
spam,"Urgent! Your mobile number 077xxx has won a £2,000 Bonus Caller Prize on 02/06/03. This is the second attempt to contact you. Call 09066362206 as soon as possible. BOX97N7QP, 150ppm.",,,
ham,"Hi Priya, are you alright? What did the doctor say? Please reply. Where are you?",,,
ham,"Dear, how is your day going? What are you doing and where are you? I am sipping my cappuccino and thinking of you, my love. I send a kiss from across the sea.",,,
spam,Private! Your 2003 account statement for 07973788240 shows 800 unredeemed SIM points. Call 08715203649 with Identifier Code 40533. Expires 31/10/04.,,,
ham,"I think around 5:30, though I’m not sure if we can get tickets. What are you doing now?",,,
ham,"I am on a train back from Northampton, so unfortunately I cannot. I took the day off today just to relax. I will be around on Wednesday. Do you want to go to the comedy club this week?",,,
ham,"Sorry, I’ll call later.",,,
ham,Ahh.. I forgot to call you will meet tomorrow.,,,
ham,"Not sure yet, still trying to get a hold of hiB21:B39m",,,
ham,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. ",,,
ham,I am on gloucesterroad what are you up to later?,,,
spam,"Eerie Nokia tones 4u, reply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",,,
ham,"Camera quite good, 10.1mega pixels, 3optical and 5digital dooms. Have a lovely holiday, be safe and i hope you have a good journey! Happy new year to you both! See you in a couple of weeks!",,,
ham,Good Morning my Dear Shijutta........... Have a great &amp; successful day.,,,
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",,,
spam,URGENT! Your account has been selected for a bonus. Contact us immediately,,,
ham,You seem really unfortunate… Then you don’t want to eat? Have you already taken a bath?,,,
ham,I am going to sleep. I am tired of travel.,,,
ham,I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response.,,,
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,,,
ham,Yeah get the unlimited cookies from my bakery.,,,
ham,Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.,,,
spam,important information 4 orange user . today is your lucky day! To find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,,,
ham,Thank you for your stay in our hotel. Hope you visit other time.,,,
spam,Reply to win £100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service,,,
ham,Yeah he got in at 2 and was very apologetic and had fallen out and she was acting like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,,,
ham,Yes but mostly not like that.,,,
ham,Hey come online for minecraft game! We are all there,,,
ham,Ok... you enjoy your shows...,,,
spam,"Exclusive offer: Travel, hotel stays, or flight deals available now. Call immediately",,,
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on your mobile or visit www.win-82050.co.uk",,,
spam,You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!,,,
ham,my parents are out for an event.. Wanna have a friends day out now.,,,
ham,"Sorry, I'll call later",,,
ham,Friends that you can stay on fb chat with ,,,
spam,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com",,,
ham,Yar lor actually we quite fast... Cos da ge slow wat... Haha...,,,
ham,Merry christmas to u too annie!,,,
spam,PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04,,,
spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,,,
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only,,,
spam,Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,,,
ham,How is your schedule next week? I am out of town this weekend.,,,
ham,Nope... C ü then...,,,
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,,,
ham,Sorry me going home first... Daddy come fetch ü later...,,,
